ID,Category,Name,Link,Image,Description,Ingredients,Alert,Portion,Nutrition Facts,Date,Product Image,Background Colour,Background Image,Claims,Mobile Image,Font Colour,Order,Featured,Featured Image
4780,LAY'S STAX®,LAY'S STAX® Original Potato Crisps,https://www.lays.ca/products/lays-stax® original-potato-chips,Lays_Stax_Original_163g.png," Nothing stacks up to the timeless taste of Lay's Stax® Original potato crisps.

 This crunchy potato chip gives you the full flavour that you have been looking for. Your taste buds will thank you.

So lose the bowl. Kick back and relax with Lay's Stax® Original potato crisps.","Dehydrated potatoes, vegetable oil, potato starch, rice flour, mono- and diglycerides, salt, sugar, soy lecithin, dextrose, citric acid.",Contains soy ingredients.,Amount per 50 g serving (21 chips),"- Calories | 250 
- Fat 14 g | 22 %
 -- Saturated 2 g | 10 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 250 mg | 10 %
- Carbohydrate 30 g | 10 %
 -- Fibre 2 g | 9 %
 -- Sugars 2 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 4 %
- Calcium |  2 %
- Iron | 2 %",2016-02-25 10:15:03,Packshots_Stax-Original.jpg,#F8CE41,Background -  Product - STAX Original.png,Made in Canada | Gluten Free ,,Black,STAX 1 ,0,
4781,LAY'S STAX®,LAY'S STAX® Salt & Vinegar Flavoured Potato Crisps,https://www.lays.ca/products/lays-stax® salt-vinegar-potato-chips,Lays_Stax_SV_155g.png," Everything is easy breezy with the tangy twist of Lay's Stax® Salt & Vinegar potato crisps.  So go ahead, dive into the tart and tangy taste of Lay's Stax® Salt & Vinegar potato crisps. 

One bite and you'll see that nothing else stacks up.","Dehydrated potatoes, vegetable oil, seasoning (salt, corn maltodrextrin, sodium acetate, acetic acid, lactose, natural and artificial flavour, sugar, citric acid, monosodium glutamate, malic acid, skim milk, buttermilk, disodium inosinate, disodium guanylate). Potato starch, rice flour, mono- and diglycerides, sugar, soy lecithin, dextrose, citric acid.",Contains milk and soy ingredients.,Amount per 50 g serving (21 chips),"- Calories | 250 
- Fat 13 g | 20 %
 -- Saturated 2 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 510 mg | 21 %
- Carbohydrate 31 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 2 g 
- Protein 3 g 
- Vitamin A  | 0 %
- Vitamin C  | 4 %
- Calcium  | 2 %
- Iron | 4 %
",2016-02-25 10:17:31,Packshots_Stax-Salt and Vinegar.jpg,#4FA97A,Background -  Product - STAX Salt _ Vinegar.png,Made in Canada | Gluten Free ,,White,STAX 2,0,
4782,LAY'S STAX®,LAY'S STAX® Cheddar Flavoured Potato Crisps,https://www.lays.ca/products/lays-stax® cheddar-potato-chips,Lays_Stax_Cheddar_155g.png," Lay's Stax® Cheddar flavored potato crisps are the ultimate way to unwind. They deliver a hearty crunch that will be sure to put a smile on your face. Go ahead and make your day.

Every night is better with the creamy delight of Lay's Stax® Cheddar potato crisps! ","Dehydrated potatoes, vegetable oil, seasoning (salt, corn maltodextrin, cheddar cheese, whey protein concentrate, whey, monosodium glutamate, onion powder, corn syrup solids, buttermilk, citric acid, natural and artificial flavour, colour, lactic acid, spices, lactose, sodium caseinate, skim milk, disodium inosinate, disodium guanylate), potato starch, rice flour, mono- and diglycerides, sugar, soy lecithin, dextrose, citric acid.
",Contains milk and soy ingredients.,Amount per 50 g serving (21 chips),"- Calories | 260 
- Fat 14 g | 21 %
 -- Saturated 2 g | 10 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 360 mg | 15 %
- Carbohydrate 30 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 2 g 
- Protein 3 g 
- Vitamin A  | 0 %
- Vitamin C | 4 %
- Calcium | 2 %
- Iron | 2 %
",2016-02-25 10:19:21,Packshots_Stax-Cheddar.jpg,#DD592B,Background -  Product - STAX Cheddar.png,Made in Canada | Gluten Free ,,White,STAX 3,0,
4783,LAY'S STAX®,LAY'S STAX® Bar•B•Q Flavoured Potato Crisps,https://www.lays.ca/products/lays-stax® bar•b•q-potato-chips,Lays_Stax_BBQ_155g.png,"Lay's Stax® Bar•B•Q potato crisps provide a smokin' flavour that is sure to awaken your taste buds. It delivers a hearty crunch that can't be beat.

So round up your friends and grill the night away!","Dehydrated potatoes, vegetable oil, seasoning (sugar, salt, corn maltodextrin, onion powder, monosodium glutamate, corn syrup solids, tomato powder, hydrolyzed corn protein, natural flavour, colour, malic acid, sodium acetate, acetic acid, spices, sodium caseinate, citric acid, disodium inosinate, disodium guanyulate), potato starch, rice flour, mono- and diglycerides, sugar, soy lecithin, dextrose, citric acid.",Contains milk and soy ingredients.,Amount per 50 g serving (21 chips),"- Calories | 250 
- Fat 14 g | 21 %
 -- Saturated 2 g | 10 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Carbohydrate 31 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 3 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 4 %
- Calcium | 2 %
- Iron | 4 %
",2016-02-25 10:21:38,Packshots_Stax-BBQ.jpg,#361E17,Background -  Product - STAX BBQ.png,Made in Canada | Gluten Free ,,White,STAX 4,0,
4790,LAY'S STAX®,LAY'S STAX® Sour Cream & Onion Flavoured Potato Crisps,https://www.lays.ca/products/lays-stax® sour-cream-onion-potato-chips,Lays_Stax_SCO_155g.png,"Looking for a creamy, zesty delight? You've come to the right spot. Lay's Stax® Sour Cream & Onion flavoured potato crisps are the perfect snack when you want to take time out.

Indulge in your downtime with the deliciously zesty flavour of Sour Cream and Onion. ","Dehydrated potatoes, vegetable oil, seasoning (salt, skim milk, onion powder, dextrose, whey, sugar, monosodium glutamate, corn starch, sour cream, lactose, corn maltodextrin, natural and artificial flavour, malic acid, citric acid, cheddar cheese, corn syrup solids, buttermilk, colour, disodium inosinate, disodium guanylate), potato starch, rice flour, mono- and diglycerides, sugar, soy lecithin, dextrose, citric acid.",Contains milk and soy ingredients.,Amount per 50 g serving (21 chips),"- Calories | 250 
- Fat 13 g | 21 %
 -- Saturated 2 g | 10 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Carbohydrate 30 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 2 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 4 %
- Calcium | 2 %
- Iron | 2 %
",2016-02-25 11:30:39,Packshots_Stax-Sour Cream.jpg,#18A556,Background -  Product - STAX Sour Cream.png,Made in Canada | Gluten Free ,,White,STAX 5,0,
4771,LAY'S®,LAY'S CLASSIC® Potato Chips,https://www.lays.ca/products/lays-classic® potato-chips,30015464_Lay%27s_Classic_235g.png,"<p>Always fresh tasting, crispy and delicious, each bag of Lay&rsquo;s Classic&reg; potato chips is made with specially selected potatoes and to the highest quality standards. Crispy and light tasting, Lay&rsquo;s Classic&reg; potato chips were designed to put a smile on everyone&rsquo;s face, which makes them the perfect snack to share. Whether you keep a bag in your desk to complement your chicken salad sandwich at lunchtime or grab a bag to share at your next social occasion, Lay&rsquo;s Classic&reg; chips will surely brighten your day! It&rsquo;s the &lsquo;Classic&rsquo; snack tradition Canadians love!</p>","Specially selected potatoes, vegetable oil, salt.",,Amount per 50 g serving (36 chips),"- Calories | 280 
- Fat 18 g | 28 %
 -- Saturated 2 g | 10 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Carbohydrate 26 g | 9 %
 -- Fibre 1 g | 4 %
 -- Sugars 0 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 0 %
- Iron | 4 %
",2016-02-25 9:47:44,Packshots_Classic.jpg,#F8CE41,Background -  Product - Classic.png,Made in Canada | Gluten Free | Kosher | No artifical flavours | No artifical colours | ,,Black,LAY'S 1,0,
4772,LAY'S®,LAY'S® Ketchup Flavoured Potato Chips,https://www.lays.ca/products/lays® ketchup-potato-chips,30015466_Lays_Ketchup_235g.png,"<p>Canadians know a thing or two about great taste and we love our Ketchup! That&rsquo;s why the combination of Lay&rsquo;s&reg; fresh taste and tangy tomato seasoning has become a Canadian taste tradition. Serve a bowl at your next get-together to delight family and friends with the crunchy, savoury flavour that is loved by everyone!</p>","Specially selected potatoes, vegetable oil, seasoning (sugar, salt, monosodium glutamate, lactose, acetic acid, sodium acetate, dehydrated vegetable powder [tomato, garlic, onion], corn maltodextrin, dextrose, flavour and artificial flavour, citric acid, malic acid, colour, spice, disodium inosinate, disodium guanylate).",Contains milk ingredients.,Amount per 50 g serving (27 chips),"- Calories | 260 
- Fat 16 g | 25 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 430 mg | 18 %
- Carbohydrate 26 g | 9 %
 -- Fibre 1 g | 4 %
 -- Sugars 2 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C  |15 %
- Calcium | 2 %
- Iron | 4 %
",2016-02-25 9:51:03,Packshots_Ketchup.jpg,#B22F29,Background -  Product - Ketchup.png,Made in Canada | Gluten Free | Kosher Dairy,,White,LAY'S 3,0,
4775,LAY'S®,LAY'S® Bar•B•Q Flavoured Potato Chips,https://www.lays.ca/products/lays® bar•b•q-potato-chips,30015463_Lay%27s_BBQ_235g.png,"<p>With a secret blend of flavourful barbeque spices and famous fresh taste, Lay&rsquo;s&reg; Bar&bull;B&bull;Q flavoured potato chips are a tasty tribute to the Canadian backyard grilling tradition! These crispy chips have a sweet and smoky flavour that&rsquo;s both fresh and inviting whether you savour the flavour as a side to burgers hot off the grill, or embrace spontaneity by crumbling them into a chicken salad to add some crunch and fun.</p><p>The sweet and smoky taste of Lay&rsquo;s&reg; Bar&bull;B&bull;Q flavoured potato chips offers the perfect, iconic flavour to satisfy all your snacking needs.</p>","Specially selected potatoes, vegetable oil, seasoning (sugar, salt, dextrose, molasses, onion powder, brown sugar, monosodium glutamate, malted barley flour, torula yeast, spices, wheat starch, garlic powder, natural flavours [contains mustard], paprika extract, sulphites).","Contains barley, wheat, mustard and sulphite ingredients.",Amount per 50 g serving (27 chips),"- Calories | 270 
- Fat 17 g | 26 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 270 mg | 11 %
- Carbohydrate 27 g | 9 %
 -- Fibre 1 g | 5 %
 -- Sugars 3 g 
- Protein 3 g 
- Vitamin A | 2 %
- Vitamin C  | 15 %
- Calcium | 2 %
- Iron | 4 %
",2016-02-25 10:00:27,Packshots_BBQ.jpg,#373536,Background -  Product - BarBQ.png,Made in Canada | Kosher DE | No artifical flavours | No artifical colours                                                                    ,,White,LAY'S 2,0,
4784,LAY'S®,LAY'S® Dill Pickle Flavoured Potato Chips,https://www.lays.ca/products/lays® dill-pickle-potato-chips,30015465_Lay%27s_Dill%20Pickle_235g.png,<p>Why are Lay&rsquo;s&reg; Dill Pickle flavoured potato chips a true taste tradition? Because Canadians love the tangy taste of Dill Pickle and the fresh taste of Lay&rsquo;s&reg; potato chips! Your taste buds will dance for the undeniably delightful and refreshing hint of dill hidden in every crunchy bite. It&rsquo;s a &lsquo;Dill-icious&rsquo; flavour Canadians love!</p>,"Specially selected potatoes, vegetable oil, seasoning (corn maltodextrin, sodium acetate, acetic acid, salt, natural flavours, monosodium glutamate, potassium chloride, dill, garlic powder, modified corn starch, lactose, calcium lactate).",Contains milk ingredients.,Amount per 50 g serving (27 chips),"- Calories| 270 
- Fat 17 g | 26 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 300 mg | 12 %
- Potassium 550 mg | 16 %
- Carbohydrate 26 g | 9 %
 -- Fibre 1 g | 4 %
 -- Sugars 0 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 15 %
- Calcium | 2 %
- Iron | 4 %
",2016-02-25 11:03:46,Packshots_Dill-Pickle.jpg,#BEB133,Background -  Product - Dill Pickle.png,Made in Canada | Gluten Free | Kosher Dairy | No artifical flavours | No artifical colours                                                                    ,,White,LAY'S 6,0,
4766,LAY'S®,LAY'S® Salt & Vinegar Flavoured Potato Chips,https://www.lays.ca/products/lays® salt-vinegar-potato-chips,30015473_Lay%27s_Salt%20%26%20Vinegar_235g.png,"<p>Take a taste adventure with the bold bite of Lay&rsquo;s&reg; Salt &amp; Vinegar flavoured potato chips. Seasoned with the robust flavour of tangy salt and vinegar, these chips have a crispy texture and a classic taste that pairs well with any meal. Savour the tangy flavour that&#39;s sure to get your taste buds hopping. A chip-lover&rsquo;s favourite, this outstanding flavour is served up with the crispy and fresh taste of Lay&rsquo;s&reg;!</p>","Specially selected potatoes, vegetable oil, seasoning (sodium acetate, acetic acid, corn maltodextrin, salt, lactose, citric acid, malic acid).",Contains milk ingredients.,Amount per 50 g serving (27 chips),"- Calories | 270 
- Fat 17 g | 26 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 450 mg | 19 %
- Carbohydrate 26 g | 9 %
 -- Fibre 1 g | 4 %
 -- Sugars 1 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C  | 15 %
- Calcium | 2 %
- Iron | 4 %
",2016-02-25 8:37:19,Packshots_Salt-and-V.jpg,#479974,Background -  Product - Salt _ Vinegar.png,Made in Canada | Gluten Free | Kosher Dairy | No artifical flavours | No artifical colours                                                                                                                                                 ,,White,LAY'S 4,0,
